latitude,longitude,Cod,UBS,Borough,Population
-23.548,-46.636,2045451,UBS VILA ALPINA DR HERMINIO MOREIRA,VILA ALPINA,25214
-23.74391198,-46.70536995,2787474,UBS J ICARAI QUINTANA,VILA QUINTANA,56036
-23.59458804,-46.44824266,2788276,UBS PQ BOA ESPERANCA,JD TRES MARIAS,24121
-23.548,-46.636,2026988,UBS VILA CALIFORNIA ZEILIVAL BRUSCAGIN,VILA CALIFORNIA,21666
-23.69109392,-46.64063215,2786893,UBS CIDADE JULIA,CIDADE JULIA,15158
-23.74240994,-46.68687344,2787253,UBS J CASTRO ALVES,JD CASTRO ALVES,73384
-23.55358243,-46.39871836,4050045,UBS J SOARES,JARDIM SOARES,33067
-23.53649139,-46.61456108,2752182,UBS BRAS MANOEL SALDIVA NETO,BRAS,29321
-23.48677397,-46.65543795,2788594,UBS MASSAGISTA MARIO AMERICO,IMIRIM,16800
-23.48828673,-46.47682428,2065266,UBS ERMELINO MATARAZZO,ERMELINO MATARAZZO,24724
-23.70034218,-46.79059982,3049213,UBS CHACARA STA MARIA,CHACARA SANTA MARIA,15222
-23.548,-46.636,2788136,UBS MOINHO VELHO,PIRITUBA,18611
-23.62223625,-46.74613953,6329527,UBS J DAS PALMAS,JD DAS PALMAS,19608
-23.4470129,-46.75386429,2091747,UBS ALPES DO JARAGUA,ALPES DO JARAGUA,10934
-23.49864006,-46.59692287,2068109,UBS V LEONOR,VILA LEONOR,16073
-23.483845,-46.70322418,4049977,UBS CRUZ DAS ALMAS,FREGUESIA DO O,26585
-23.45015645,-46.68880463,2787946,UBS J VISTA ALEGRE,BRASILANDIA,42189
-23.59202385,-46.48474216,2788152,UBS J NOVE DE JULHO,SAO MATEUS,13544
-23.46687198,-46.68058634,2789159,UBS VILA PENTEADO,VILA PENTEADO,20865
-23.49213839,-46.46221161,2788608,UBS STA INES,PRQ CRUZEIRO DO SUL,18309
-23.67450714,-46.68670177,3452689,UBS CAMPO GRANDE,CAMPO GRANDE,58575
-23.68067622,-46.68633699,2788748,UBS V ARRIETE DECIO PACHECO PEDROSO,JAD ARAUJO ALMEIDA,36697
-23.548,-46.636,2788772,UBS V CARMOSINA,ITAQUERA,27070
-23.70330334,-46.6274786,2788039,UBS LARANJEIRAS,LARANJEIRAS,15097
-23.50443363,-46.6600728,2027682,UBS CASA VERDE,CASA VERDE BAIXA,19566
-23.58410597,-46.79117918,2787210,UBS JD BOA VISTA,JARDIM BOA VISTA,18452
-23.48770738,-46.44922972,6873286,UBS JARDIM LAPENNA,SAO MIGUEL PAULISTA,7346
-23.54742408,-46.39586449,2787385,UBS J FANGANIELLO,LAJEADO,18789
-23.68126631,-46.7392087,4050185,UBS J ALFREDO,JARDIM ALFREDO,22802
-23.548,-46.636,4049969,UBS PREFEITO PRESTES MAIA,CIDADE TIRADENTES,24848
-23.59674454,-46.59505606,5479517,UBS VILA CARIOCA,VILA INDEPENDENCIA,9244
-23.61764431,-46.74588203,2789191,UBS V PRAIA VITORIO ROLANDO BOCCALETTI,VILA PRAIA,25485
-23.60858917,-46.45257711,3738647,UBS J DA CONQUISTA III,JD DA CONQUISTA,16138
-23.54597569,-46.53207779,2752360,UBS V NOVA MANCHESTER DR ARLINDO GENNARI,VILA NOVA MANCHESTER,43611
-23.63370538,-46.58904791,2788713,UBS V ARAPUA,VILA ARAPUA,21247
-23.5485,-46.6364,4049934,UBS J HELENA,JARDIM HELENA,43866
-23.45463037,-46.69964075,2788586,UBS SILMARYA REJANE MARCOLINO SOUZA,BRASILANDIA,33227
-23.5507071,-46.50587797,2086808,UBS J STA MARIA,JD SANTA MARIA,22025
-23.63180637,-46.66953564,2787156,UBS JD AEROPORTO DR MASSAKI UDIHARA,JD AEROPORTO,65752
-23.54567528,-46.41571283,4050010,UBS GUAIANASES II,GUAIANASES,27610
-23.4824717,-46.6778183,2027062,UBS VILA RAMOS FREGUESIA DO O,PARQUE MANDI,18054
-23.67399216,-46.65942907,2751828,UBS V JOANIZA,VILA JOANIZA,24791
-23.55240226,-46.48736,4049926,UBS PADRE JOSE DE ANCHIETA,ARTHUR ALVIM,17923
-23.5095191,-46.49725199,2787687,UBS J PENHA,PONTE RASA,10145
-23.69911909,-46.77343369,2787644,UBS J NAKAMURA,JARDIM NAKAMURA,13860
-23.61018777,-46.50933266,2788438,UBS IACAPE JD PLANALTO,PQ STA MADALENA,19942
-23.66482973,-46.64415121,2030969,UBS AMERICANOPOLIS,AMERICANOPOLIS,24082
-23.48658085,-46.39286041,2787733,UBS J ROMANO,ITAIM PAULISTA,18655
-23.59281778,-46.7834115,2787784,UBS JD SAO JORGE,JARDIM SAO JORGE,26622
-23.88084412,-46.7422986,6018912,UBS JARDIM EMBURA,JARDIM EMBURA,4234
-23.49443436,-46.63743496,2027666,UBS CHORA MENINO,SANTA TEREZINHA,59026
-23.548,-46.636,4050088,UBS J BRASILIA,JD BRASILIA,26332
-23.52844477,-46.6790843,2788683,UBS V ANGLO JOSE SERRA RIBEIRO,VILA POMPEIA,66664
-23.55061054,-46.59840345,2042258,UBS MOOCA I,MOOCA,46788
-23.51852059,-46.49246693,2774828,UBS J TRES MARIAS MAURICIO ZAMIJOVSKY,VILA SAO FRANCISCO,13861
-23.5233593,-46.52621984,2788888,UBS V ESPERANCA EMILIO SANTIAGO DE OLIVEIRA,VILA ESPERANCA,34845
-23.50232005,-46.76128864,2789175,UBS VILA PIAUI,VILA PIAUI,11700
-23.64927292,-46.61026955,2788284,UBS PQ BRISTOL,PARQUE BRISTOL,23272
-23.58164907,-46.58207417,3359131,UBS VILA PRUDENTE,VILA PRUDENTE,47805
-23.61241937,-46.72644138,3956954,UBS PARAISOPOLIS II,PARAISOPOLIS,19632
-23.548,-46.636,2787482,UBS J IV CENTENARIO,JD IV CENTENARIO,18918
-23.64833951,-46.66236877,2786966,UBS CUPECE DR WALDOMIRO PREGNOLATTO,VILA SANTA CATARINA,24083
-23.49175215,-46.57314777,2063670,UBS VILA SABRINA DR CARLOS AUGUSTO AUTRAN PEDERNEIRAS LIMA,VILA SABRINA,14817
-23.5485,-46.6364,2789094,UBS V N SRA APARECIDA,ITAQUERA,23249
-23.58098388,-46.40434027,4050177,UBS CASTRO ALVES,CASTRO ALVES,17385
-23.50494862,-46.43350124,2786915,UBS CIDADE NOVA SAO MIGUEL,SAO MIGUEL PAULISTA,25600
-23.52113843,-46.38936281,2788624,UBS STA LUZIA,JD MIRIAM,6943
-23.59961987,-46.40133619,2027305,UBS PROFETA JEREMIAS,CIDADE TIRADENTES,11685
-23.67143869,-46.77974224,2787318,UBS J COMERCIAL,JARDIM COMERCIAL,33455
-23.47139955,-46.69262409,2786818,UBS BRASILANDIA,BRASILANDIA,12817
-23.47764373,-46.56857729,2788306,UBS PQ EDU CHAVES,PQ EDU CHAVES,29135
-23.47665668,-46.65910721,2787148,UBS ILZA WELTMAN HUTZLER,VL NOVA CACHOEIRINHA,26290
-23.548,-46.636,2789167,UBS VILA PEREIRA BARRETO,JARDIM SAO JOSE,21867
-23.50581765,-46.52044773,2752204,UBS CANGAIBA CARLOS GENTILE DE MELLO,CANGAIBA,25637
-23.65351081,-46.65249825,2046997,UBS V STA CATARINA,VILA SANTA CATARINA,22289
-23.59180927,-46.51652098,2042932,UBS JARDIM GRIMALDI,VILA BANCARIA,39915
-23.43125224,-46.78742409,2091739,UBS MORADA DO SOL,SOL NASCENTE,10905
-23.49528193,-46.38020039,2787350,UBS JD DAS OLIVEIRAS,ITAIM PAULISTA,26393
-23.49434853,-46.43644094,2788209,UBS PAULO FELDMAN NITRO OPERARIA,SAO MIGUEL PAULISTA,8852
-23.63428473,-46.7773819,2774763,UBS CAMPO LIMPO FRANCISCO SCALAMANDRE SOBRINHO,CAMPO LIMPO,18781
-23.48634481,-46.57681704,2075202,UBS J BRASIL,JARDIM BRASIL,48404
-23.49844694,-46.67736769,2786710,UBS ADELAIDE LOPES,LIMAO,24415
-23.53674889,-46.41760111,2787202,UBS J AURORA,GUAIANASES,21588
-23.65414381,-46.75746918,2787393,UBS J GERMANIA,JD NOVA GERMANIA,11832
-23.57426763,-46.5586853,2752379,UBS V ORATORIO TITO PEDRO MASCELANI,VILA DIVA,36754
-23.78340483,-46.71030521,3689247,UBS JARDIM IPORA,JARDIM IPORA,11385
-23.62970352,-46.60475492,2788829,UBS V DAS MERCES,VILA DAS MERCES,29563
-23.8564682,-46.70483351,2789280,UBS VARGEM GRANDE,VARGEM GRANDE,19997
-23.6138463,-46.59383297,2788519,UBS SACOMA,SACOMA,49843
-23.63856554,-46.60625696,2042983,UBS EDUARDO ROMANO RESCHILIAN,JD CLIMAX,31011
-23.548,-46.636,2788780,UBS V CHABILANDIA,LAJEADO,18359
-23.45250607,-46.5856576,2787172,UBS J APUANA,JARDIM APUANA,11841
-23.72020125,-46.76461458,5743583,UBS CIDADE IPAVA,CIDADE IPAVA,20616
-23.69668365,-46.66281939,2766000,UBS MAR PAULISTA,BALN MAR PAULISTA,14750
-23.53911996,-46.47637367,2786729,UBS AE CARVALHO,CIDADE AE CARVALHO,13820
-23.63021851,-46.62589073,2064855,UBS AGUA FUNDA,AGUA FUNDA,27994
-23.44859004,-46.61001205,2027275,UBS V ALBERTINA DR OSVALDO MARCAL,VILA ESMERALDA,25205
-23.53077292,-46.39745235,2766019,UBS PRIMEIRO DE OUTUBRO,PRIMEIRO DE OUTUBRO,23356
-23.77470374,-46.70127153,6822991,UBS J NOVO HORIZONTE,JARDIM NOVO HORIZONT,17589
-23.68302584,-46.71161413,2789302,UBS VELEIROS,VELEIROS,37988
-23.43877316,-46.8020153,3651770,UBS JARDIM ROSINHA,MORRO DOCE,15578
-23.44155192,-46.73420906,3738582,UBS CITY JARAGUA,JARAGUA,26631
-23.73453498,-46.66125298,2787067,UBS GAIVOTAS,JARDIM GAIVOTAS,15876
-23.53819728,-46.68906212,2787938,UBS J VERA CRUZ PERDIZES,PERDIZES,36924
-23.50089312,-46.46244764,2046962,UBS CIDADE PEDRO JOSE NUNES,JD PEDRO JOSE NUNES,17665
-23.57914925,-46.71517611,2786877,UBS CAXINGUI NANCI ABRANCHES,CAXINGUI,31170
-23.66029143,-46.65022373,6165516,UBS VILA CAMPESTRE,VILA CAMPESTRE,22807
-23.78795385,-46.72219276,6332501,UBS VILA MARCELO,VILA MARCELO,4764
-23.48943472,-46.66472912,2786869,UBS CASA VERDE ALTA,CASA VERDE ALTA,18127
-23.60697985,-46.44463778,3219771,UBS J DA CONQUISTA II,JARDIM DA CONQUISTA,14408
-23.548,-46.636,2752239,UBS JARDIM INDEPENDENCIA HERMENEGILDO MORBIM JUNIOR,JD INDEPENDENCIA,27008
-23.59320402,-46.51117802,2787857,UBS JARDIM SINHA,JARDIM SINHA,18905
-23.61283779,-46.52317286,2787121,UBS IGUACU,VILA INDUSTRIAL,18102
-23.59672308,-46.59241676,2042959,UBS JOAQUIM ROSSINI,VILA CARIOCA,9133
-23.55393648,-46.58010006,2752166,UBS AGUA RASA,AGUA RASA,39142
-23.548,-46.636,2787296,UBS J COLONIAL,JARDIM COLONIAL,19488
-23.47020864,-46.72118425,2787008,UBS DOMINGOS MANTELLI,PIRITUBA,17290
-23.54238153,-46.39294624,3016935,UBS JARDIM BANDEIRANTES,GUAIANASES,6445
-23.548,-46.636,2789035,UBS VILA MANGALOT,SAO DOMINGOS,15467
-23.47505808,-46.64194107,2788047,UBS LAUZANE PAULISTA,LAUZANE PAULISTA,65388
-23.46147537,-46.7089963,2787679,UBS J PAULISTANO,JAD PAULISTANO,21419
-23.74486685,-46.66895628,2788403,UBS PQ RESIDENCIAL COCAIA INDEPENDENTE,PQ RESIDENCIAL COCAI,31303
-23.67174983,-46.77274704,5695813,UBS J MARACA,JARDIM MARACA,26414
