latitude,longitude,Cod,UBS,Borough,Population
-23.54750991,-46.50019169,2786753,UBS ANTONIO P F VILLALOBO,VILA NHOCUNE,19397
-23.5429287,-46.43122673,2026996,UBS JOSE BONIFACIO I,JD HELENA,12240
-23.44601512,-46.71440363,2787024,UBS ELISIO TEIXEIRA LEITE,JARAGUA,23031
-23.58746409,-46.3869381,2787954,UBS J VITORIA,CIDADE TIRADENTES,7813
-23.63158107,-46.45789862,2788527,UBS CEO SAO FRANCISCO II,J RODOLFO PIRANI,16236
-23.62230062,-46.49248838,2787040,UBS FAZENDA DA JUTA I,FAZENDA DA JUTA,12359
-23.51566672,-46.39775276,2787989,UBS J INDAIA,ITAIM PAULISTA,15730
-23.64135504,-46.77158833,6039111,UBS J HELGA,JD HELGA,10230
-23.51391792,-46.5318203,6194990,UBS CHACARA CRUZEIRO DO SUL,VILA SANTANA,15180
-23.57229352,-46.50362492,2787865,UBS J STA TEREZINHA,JD SANTA TEREZINHA,15846
-23.50225568,-46.42307281,2788802,UBS V CURUCA,VILA CURUCA,20615
-23.46500516,-46.60503387,2788012,UBS CONJUNTO DO IPESP,JD LEONOR M BARROS,16508
-23.53030086,-46.45914316,4050029,UBS V REGINA,ITAQUERA,21579
-23.49264264,-46.58518553,2789051,UBS V MEDEIROS,VILA MEDEIROS,26842
-23.64843607,-46.78244591,2787636,UBS J MITSUTANI,JD MITSUTANI,29083
-23.61275196,-46.61629915,2042967,UBS J DA SAUDE NEUSA ROSALIA MORALES,JARDIM DA SAUDE,34304
-23.61628175,-46.51658535,4050398,UBS PASTORAL,PQ STA MADALENA,9254
-23.57342005,-46.51592016,2788691,UBS V ANTONIETA,VILA ANTONIETA,32915
-23.5488832,-46.56113148,2752387,UBS VILA SANTO ESTEVAO,VILA GOMES CARDIM,64887
-23.7714529,-46.69667959,2787628,UBS JD MIRNA,JARDIM MIRNA,16200
-23.57669234,-46.7338872,2786826,UBS BUTANTA,VILA GOMES,32460
-23.6011219,-46.5081954,2787091,UBS JARDIM DOS EUCALIPTOS HELIO MOREIRA SALLES,JD DOS EUCALIPTOS,22177
-23.57270122,-46.76120281,2788004,UBS JOSE MARCILIO MALTA CARDOSO,RIO PEQUENO,34040
-23.58730316,-46.77004337,2788764,UBS V BORGES,JARDIM CLAUDIA,28200
-23.51205111,-46.565938,2788357,UBS PQ NOVO MUNDO II,PARQUE NOVO MUNDO,23783
-23.51764083,-46.50600672,4049993,UBS J POPULAR DR MATHEUS SANTAMARIA,JARDIM POPULAR,10526
-23.49215984,-46.41556263,2062658,UBS J MAIA,JARDIM MAIA,31704
-23.46109986,-46.58340454,2042541,UBS DR JOSE TOLEDO PIZA,JACANA,19413
-23.53645921,-46.52767897,2789043,UBS VILA MATILDE DR RUBENS DO VAL,VILA MATILDE,21186
-23.51766229,-46.57707453,2788349,UBS PQ NOVO MUNDO I,PARQUE NOVO MUNDO,31840
-23.65385413,-46.74519539,5313902,UBS BRASILIA M BOI MIRIM,J BRASILIA,18168
-23.62879157,-46.64640427,2788101,UBS MILTON SANTOS,PLANALTO PAULISTA,45374
-23.52236152,-46.46922827,6408168,UBS AGUIA DE HAIA,CIDADE A E CARVALHO,21173
-23.66018414,-46.63700581,5120780,UBS J LOURDES,JABAQUARA,16570
-23.59096169,-46.54057503,3121135,UBS GRAFICOS,CIDADE TIRADENTES,9619
-23.66655707,-46.73635483,2788160,UBS NOVO JARDIM I,J STA JOSEFINA,23684
-23.77061605,-46.70532703,3992101,UBS CHACARA DO CONDE,J CAMPINAS,19301
-23.64616156,-46.77233934,2786745,UBS ALTO DO UMUARAMA,JD UMUARAMA,20650
-23.50539923,-46.67058706,2788756,UBS V BARBOSA,LIMAO,19739
-23.5958755,-46.50012732,2027046,UBS J PARAGUACU,JARDIM PARAGUACU,11388
-23.67249012,-46.63752079,3708411,UBS V CLARA,VILA CLARA,19916
-23.50426197,-46.36689663,2057131,UBS CIDADE KEMEL,CIDADE KEMEL,16238
-23.67466807,-46.75656796,4050118,UBS J THOMAS,JARDIM THOMAS,19904
-23.73053312,-46.78896904,2787245,UBS J CAPELA,JARDIM CAPELA,18104
-23.52539778,-46.65161848,6048633,UBS BORACEA,SANTA CECILIA,16532
-23.50410104,-46.47094488,2788659,UBS THERSIO VENTURA,CID PEDRO JOSE NUNES,19960
-23.69248867,-46.78808928,2787423,UBS J GUARUJA,J GUARUJA,15198
-23.6044693,-46.5325284,4050401,UBS REUNIDAS I,VILA INDUSTRIAL,25956
-23.68862629,-46.74832821,4049861,UBS J SOUZA,JARDIM SOUZA,26314
-23.49741697,-46.65505171,2788373,UBS PARQUE PERUCHE,PARQUE PERUCHE,26115
-23.6929822,-46.79456949,3614948,UBS LUAR DO SERTAO,CHACARA STA MARIA,20487
-23.41504097,-46.75148249,3105504,UBS RECANTO DOS HUMILDES,PERUS,21429
-23.5626483,-46.64934397,2788144,UBS NOSSA S DO BRASIL ARMANDO DARIENZO,BELA VISTA,58540
-23.62851262,-46.63129807,2788330,UBS PQ IMPERIAL MANOEL ANTONIO DA SILVA SARAGOCA,VILA MONTE ALEGRE,62931
-23.52728605,-46.43586159,2788179,UBS PARADA XV DE NOVEMBRO,XV DE NOVEMBRO,19577
-23.68934512,-46.76600933,2788616,UBS STA LUCIA,VILA SANTA LUCIA,20614
-23.548,-46.636,4050037,UBS COLORADO,JAD RODOLFO PIRANI,23739
-23.61630321,-46.49590015,2043017,UBS MASCARENHAS DE MORAES,C MASCARENHAS MORAES,15777
-23.75375032,-46.67116642,2787369,UBS J ELIANE,JARDIM ELIANA,32278
-23.57780814,-46.48128748,4050134,UBS J N SRA DO CARMO,JD N SRA DO CARMO,22876
-23.6553669,-46.73450947,3661741,UBS NOVO CAMINHO,J SAO LUIS,18892
-23.548,-46.636,2787083,UBS GUAIANAZES,GUAIANASES,9924
-23.61509085,-46.51038408,2788411,UBS STA MADALENA,JARDIM ELBA,7808
-23.49048615,-46.45461559,2819856,UBS UNIAO DE V NOVA II ADAO MANOEL,SAO MIGUEL PAULISTA,23378
-23.51131082,-46.3842988,2027526,UBS J NELIA,ITAIM PAULISTA,38257
-23.61702204,-46.71989679,6564410,UBS PARAISOPOLIS III,JD MORUMBI,30832
-23.67566586,-46.79238081,2788322,UBS PQ FERNANDA,PARQUE FERNANDA,22397
-23.55102897,-46.62848711,5975220,UBS SE,PARQUE DOM PEDRO,39761
-23.51246953,-46.51386023,2786958,UBS COSTA MELO,V MONTEVIDEO,23162
-23.49757791,-46.5302968,2787776,UBS J SAO FRANCISCO,CANGAIBA,9187
-23.65323186,-46.79029942,6195008,UBS J MACEDONIA,JARDIM MACEDONIA,17168
-23.77984285,-46.67410612,6280188,UBS CHACARA DO SOL,CHACARA DO SOL,1671
-23.52254391,-46.3998127,2786982,UBS DOM JOAO NERY,JARDIM NAZARE,22209
-23.535043,-46.53660536,2788721,UBS V ARICANDUVA,VILA ARICANDUVA,16305
-23.52460384,-46.41792297,2787717,UBS J ROBRU GUAIANAZES,GUAIANAZES,26259
-23.5232842,-46.4907074,2752190,UBS BURGO PAULISTA,BURGO PAULISTA,12186
-23.62063766,-46.5887475,2787830,UBS J SECKLER,SAO JOAO CLIMACO,20523
-23.6717391,-46.74699783,4050053,UBS CHACARA SANTANA,CHACARA SANTANA,15357
-23.5841918,-46.51649952,2787490,UBS J IVA,JARDIM IVA,23100
-23.52623463,-46.64185524,2029618,UBS BOM RETIRO OCTAVIO AUGUSTO RODOVALHO,BOM RETIRO,25981
-23.82169604,-46.67350531,6090591,UBS CHACARA SANTO AMARO,CHACARA SANTO AMARO,4231
-23.54772449,-46.43045425,4049942,UBS J SAO PEDRO FRANCISCO ANTONIO CESARONI,JARDIM SAO PEDRO,30983
-23.64836097,-46.7543149,2789205,UBS VILA PREL ANTONIO BERNARDES DE OLIVEIRA,VILA PREL,27572
-23.59276414,-46.6716814,2789132,UBS V OLIMPIA MAX PERLMAN,VILA NOVA CONCEICAO,34301
-23.45872879,-46.69620752,2789264,UBS V TEREZINHA,VILA TEREZINHA,13887
-23.48851204,-46.73826456,3738604,UBS PARQUE MARIA DOMITILA,PQ MARIA DOMITILA,41478
-23.73367667,-46.70178652,2787997,UBS JORDANOPOLIS,JORDANOPOLIS,11327
-23.65590334,-46.77120209,2787571,UBS NIR J MARCELO,JARDIM MARCELO,4764
-23.61182928,-46.46356344,2027038,UBS SANTA BARBARA,CID SAT STA BARBARA,23244
-23.548,-46.636,2787962,UBS JACANA,V CONSTANCIA,22058
-23.49975586,-46.59121513,2027720,UBS V MARIA LUIZ PAULO GNECCO,VILA MUNHOZ,21111
-23.5261488,-46.62084818,2788195,UBS PARI,CANINDE,18679
-23.56020212,-46.51014805,2752271,UBS V ITAPEMA,JARDIM ARISI,16413
-23.43120933,-46.57518625,5621267,UBS J FLOR DE MAIO,J FLOR DE MAIO,13249
-23.60409379,-46.42996073,2787342,UBS J DAS LARANJEIRAS,JD DAS LARANJEIRAS,15874
-23.45154047,-46.57263279,2789108,UBS V NOVA GALVAO,VILA NOVA GALVAO,19300
-23.48620534,-46.45974398,2027291,UBS UNIAO VILA NOVA I,SAO MIGUEL PAULISTA,23378
-23.48704219,-46.43292189,6283616,UBS PARQUE PAULISTANO,PARQUE PAULISTANO,27664
-23.56499791,-46.41845942,3738663,UBS FAZENDA DO CARMO,CIDADE TIRADENTES,34316
-23.61149669,-46.49296045,2787822,UBS JARDIM SAPOPEMBA,JARDIM SAPOPEMBA,19247
-23.50262046,-46.44961596,2789000,UBS VILA JACUI,VILA JACUI,21777
-23.5786798,-46.3918685,2786974,UBS DOM ANGELICO,CIDADE TIRADENTES,9596
-23.61666799,-46.45656824,2027011,UBS CARRAOZINHO,J VL CARRAO,9821
-23.52102041,-46.41208649,2787725,UBS J ROBRU ITAIM,SAO MIGUEL PAULISTA,17327
-23.67840171,-46.76268339,2787288,UBS J COIMBRA,J COIMBRA,21660
-23.58386993,-46.39320374,2786788,UBS BARRO BRANCO,COHAB BARRO BRANCO I,12644
-23.6043942,-46.65451527,2788578,UBS SIGMUND FREUD INDIANOPOLIS,INDIANOPOLIS,49067
-23.64489555,-46.59318924,2788055,UBS LUIZ ERNESTO MAZZONI,VILA LIVIERO,27130
-23.65674019,-46.74152613,5079454,UBS J CELESTE,J CELESTE,18595
-23.768996,-46.64936543,4049896,UBS ALCINA PIMENTEL PIZA,ILHA DO BORORE,3311
-23.64336133,-46.7415905,4049810,UBS V DAS BELEZAS ALBERTO AMBROSIO,VILA DAS BELEZAS,25453
-23.54080439,-46.43933773,4050142,UBS JOSE BONIFACIO III DRA LUCY MAYUMI UDAKIRI,ITAQUERA,29097
-23.69084716,-46.6575408,6683991,UBS JARDIM SELMA CIDADE ADEMAR,JARDIM SELMA,14197
-23.70002031,-46.78259611,2788365,UBS PQ NOVO STO AMARO,PQ NOVO STO AMARO,15024
-23.53180289,-46.72066927,2027461,UBS PQ DA LAPA,VL LEOPOLDINA,38961
-23.5429287,-46.74455166,2789116,UBS VILA NOVA JAGUARE,JAGUARE,49862
-23.60507011,-46.52070522,2788497,UBS REUNIDAS II,VILA UNIAO,24678
-23.6260879,-46.46955013,4049853,UBS PQ SAO RAFAEL,PARQUE SAO RAFAEL,28928
-23.57954621,-46.52873039,2788942,UBS VILA GUARANI,JD MARINGA,39371
-23.52717876,-46.52812958,2788861,UBS V ESPERANCA CASSIO BITTENCOURT FILHO,VILA ESPERANCA,39964
-23.548,-46.636,2787431,UBS J HELIAN,JARDIM HELIAN,6957
-23.73474956,-46.78896904,3762831,UBS VILA CALU,VILA CALU,13518
-23.79518509,-46.73084021,2027321,UBS RECANTO CAMPO BELO,RECANTO CAMPO BELO,15514
-23.73721719,-46.78096533,2086816,UBS J VERA CRUZ,JD VERA CRUZ,20596
-23.56725097,-46.5462184,2788896,UBS V FORMOSA II,VILA FORMOSA,16767
-23.50474477,-46.4104557,2787970,UBS JARAGUA,CURUCA,13508
-23.66692185,-46.79253101,5620341,UBS J MAGDALENA,J MAGDALENA,16913
-23.67928147,-46.74905777,2815451,UBS PQ FIGUEIRA GRANDE,PQ FIGUEIRA GRANDE,18572
-23.53036523,-46.4217639,2787377,UBS J ETELVINA,GUAIANAZES,30439
-23.90656114,-46.70785904,6332471,UBS MARSILAC,MARSILAC,1428
-23.67372394,-46.66638136,2788799,UBS V CONSTANCIA VICENTE OCTAVIO GUIDA,VILA DO CASTELO,23673
-23.70289564,-46.6357398,2788934,UBS V GUACURI,JARDIM RUBILENE,17479
-23.47742915,-46.72099113,2787261,UBS JARDIM CIDADE PIRITUBA,JARDIM CIDADE PIRITU,18797
-23.66131067,-46.78611517,2788314,UBS PQ ENGENHO II,PARQUE DO ENGENHO,23655
-23.60187292,-46.79504156,2788217,UBS PAULO VI,JD JOAO XXIII,26555
-23.62135649,-46.50909662,2043009,UBS JARDIM ELBA HUMBERTO GASTAO BODRA,V CARDOSO FRANCO,14993
-23.68899107,-46.64966583,2789078,UBS V MISSIONARIA,VILA MISSIONARIA,30928
-23.47767591,-46.58814669,2027674,UBS V NIVI,VILA NIVI,42559
-23.50618243,-46.58786774,2787504,UBS J JAPAO,VILA MARIA ALTA,29857
-23.61705422,-46.72320127,2788187,UBS PARAISOPOLIS,JD PARAISOPOLIS,20060
-23.63814712,-46.74944401,2788268,UBS PQ ARARIBA CEO II LRPD,JARDIM INGA,55116
-23.69797111,-46.64835691,2788292,UBS PQ DOROTEIA,JAD SANTA TEREZINHA,22159
-23.548,-46.636,2786885,UBS CHACARA INGLESA,CHACARA INGLESA,22323
-23.61457586,-46.41983271,2788489,UBS RECANTO VERDE SOL,RECANTO VERDE SOL,17863
-23.57877374,-46.50984764,2789124,UBS V NOVA YORK,VILA NOVA YORK,19026
-23.68261814,-46.66794777,2787652,UBS JD NITEROI,JARDIM NITEROI,16150
-23.43926668,-46.79433346,3651762,UBS MORRO DOCE,MORRO DOCE,18909
-23.76386762,-46.70755863,6998186,UBS VILA NATAL,VILA NATAL,22020
-23.56319547,-46.74854279,2788500,UBS RIO PEQUENO PAULO DE BARROS FRANCA,RIO PEQUENO,20189
-23.548,-46.636,2046261,UBS ITAIM PAULISTA JULIO DE GOUVEIA,ITAIM PAULISTA,27821
-23.64767432,-46.70176506,2788640,UBS CEO I SANTO AMARO DR SERGIO VILLACA BRAGA,SANTO AMARO,31872
-23.548,-46.636,2788225,UBS PERUS,PERUS,38709
-23.50457311,-46.61061287,2068079,UBS CARANDIRU,CARANDIRU,14606
-23.59830022,-46.39206648,2787059,UBS FERROVIARIOS,CIDADE TIRADENTES,11840
-23.50045323,-46.5168643,2752220,UBS ENG GOULART JOSE PIRES,ENGENHEIRO GOULART,35976
-23.93422008,-46.74586058,2786990,UBS DON LUCIANO BERGAMIM,PONTE SECA,1252
-23.64774942,-46.63846493,2030934,UBS CIDADE VARGAS,CIDADE VARGAS,35049
-23.81774783,-46.7054987,2787814,UBS JARDIM SAO NORBERTO,SAO NORBERTO,9315
-23.61778378,-46.50635004,2789221,UBS VILA RENATO,VILA RENATO,9166
-23.4550488,-46.71519756,2789027,UBS VILA MAGGI,PIRITUBA,14196
-23.57013702,-46.53448105,4049799,UBS COMENDADOR JOSE GONZALEZ,VILA FORMOSA,20561
-23.5488081,-46.63848639,6090621,UBS REPUBLICA,REPUBLICA,48187
-23.41923594,-46.59046412,3323331,UBS JARDIM DAS PEDRAS,JARDIM DAS PEDRAS,17014
-23.59478116,-46.75165415,2787512,UBS JD JAQUELINE,JARDIM JAQUELINE,38406
-23.62922072,-46.75452948,3956946,UBS J OLINDA,JARDIM ANA MARIA,19930
-23.63456368,-46.75555944,2788381,UBS PQ REGINA,PARQUE REGINA,18105
-23.68210316,-46.65859222,3074544,UBS JD SAO CARLOS CIDADE ADEMAR,J SAO CARLOS,15519
-23.68337989,-46.77545071,2086743,UBS J CAICARA,JARDIM CAICARA,21682
-23.7851429,-46.68374062,2789299,UBS VARGINHA,VARGINHA,20326
-23.50390792,-46.3855648,2057271,UBS J CAMARGO NOVO,JAD CAMARGO NOVO,31052
-23.48211765,-46.49328232,2787547,UBS J KERALUX,JARDIM KERALUX,7476
-23.6370635,-46.76382065,2786842,UBS CAMPO LIMPO,JARDIM CATANDUVA,26476
-23.52058053,-46.46367073,4050126,UBS V RAMOS DR LUIS AUGUSTO DE CAMPOS,LIMOEIRO,25480
-23.65709424,-46.61436796,2047004,UBS AURELIO MELLONE,JARDIM CELESTE,20751
-23.44887972,-46.59617186,2787520,UBS J JOAMAR,JARDIM JOAMAR,49531
-23.46214056,-46.69200182,2787415,UBS J GUARANI,BRASILANDIA,19728
-23.67654562,-46.65088892,2788977,UBS V IMPERIO II,AMERICANOPOLIS,24101
-23.69866848,-46.76652431,2786737,UBS ALTO DA RIVIERA,ALTO DA RIVIERA,13117
-23.53896976,-46.45598888,2752255,UBS ITAQUERA,ITAQUERA,17973
-23.51117134,-46.55023098,2787032,UBS ENG TRINDADE,PENHA DE FRANCA,25189
-23.46862078,-46.60340309,4049985,UBS WAMBERTO DIAS DA COSTA,JARDIM TREMEMBE,39384
-23.69092226,-46.67028666,2788705,UBS V APARECIDA,VILA PORTELA,15579
-23.58870864,-46.39640093,4050347,UBS CARLOS GENTILE DE MELO,CIDADE TIRADENTES,30366
-23.58734608,-46.68554306,2752301,UBS JOSE DE BARROS MAGALDI,ITAIM BIBI,47221
-23.86767983,-46.6516614,3561186,UBS VERA POTY,BARRAGEM,849
-23.59470606,-46.42114162,3219887,UBS CDHU PALANQUE,JARDIM PALANQUE,11177
-23.43585491,-46.71805143,2788667,UBS UNIAO DAS VILAS DE TAIPAS,PARADA DE TAIPAS,34919
-23.71700406,-46.77806854,4050223,UBS PQ DO LAGO,PARQUE DO LAGO,9320
-23.82986069,-46.72697783,4050150,UBS PARELHEIROS,JARDIM NOVO PARELHEI,19194
-23.65771651,-46.77523613,6380417,UBS J VALQUIRIA,JD VALQUIRIA,25200
-23.59879375,-46.49523497,2787881,UBS J TIETE I,JARDIM TIETE,18305
-23.8320601,-46.71122789,6332447,UBS JARDIM SANTA FE,JARDIM SANTA FE,8761
-23.48255754,-46.74725533,2789183,UBS VILA PIRITUBA,VILA PIRITUBA,27196
-23.5623157,-46.45757675,2774798,UBS J COPA,ITAQUERA,16492
-23.59804273,-46.7347455,2789256,UBS VILA SONIA,VILA SONIA,48398
-23.55375409,-46.69107914,2788063,UBS MANUEL JOAQUIM PERA,VILA MADALENA,53130
-23.48967075,-46.49167299,2079070,UBS V CISPER,ERMELINO MATARAZZO,21616
-23.56344223,-46.76525831,2788810,UBS V DALVA GUILHERME HENRIQUE P COELHO,VILA DALVA,15693
-23.51290941,-46.4623189,2787334,UBS J DAS CAMELIAS,SAO MIGUEL PAULISTA,14798
-23.7146759,-46.62758589,2788098,UBS MATA VIRGEM,JARDIM MATA VIRGEM,16559
-23.61289144,-46.45343542,2786931,UBS J DA CONQUISTA I,JARDIM DA CONQUISTA,17059
-23.4765172,-46.70324564,2789213,UBS V PROGRESSO J MONTE ALEGRE,JARDIM MONTE ALEGRE,26292
-23.4812057,-46.66627407,2788853,UBS VILA ESPANHOLA,VILA ESPANHOLA,15151
-23.53784323,-46.51450396,2788969,UBS V GUILHERMINA,VILA GUILHERMINA,15503
-23.548,-46.636,2752263,UBS JARDIM GUAIRACA,JARDIM GUAIRACA,23909
-23.548,-46.636,2788241,UBS ANHANGUERA,JARDIM JARAGUA,25632
-23.55660796,-46.6421771,2787113,UBS HUMAITA,BELA VISTA,49223
-23.60363245,-46.59587145,3385264,UBS ALMIRANTE DELAMARE,HELIOPOLIS,20917
-23.43570471,-46.58052921,2091720,UBS J FONTALIS,JD FONTALIS,37082
